name,category,confidence,notes
World of Warcraft,MMO / Live Service,high,Ongoing MMO with no ending
Final Fantasy XIV,MMO / Live Service,high,MMO with story arcs but no final ending; perpetual live service
Guild Wars 2,MMO / Live Service,high,Ongoing MMO
The Elder Scrolls Online,MMO / Live Service,high,Ongoing MMO
Eve Online,MMO / Live Service,high,Player-driven sandbox MMO with no ending
RuneScape,MMO / Live Service,high,Ongoing MMO since 2001
Old School RuneScape,MMO / Live Service,high,Classic MMO with no ending
Destiny 2,MMO / Live Service,high,Live service looter shooter; seasonal content with no final ending
Star Wars: The Old Republic,MMO / Live Service,high,Ongoing MMO
Black Desert Online,MMO / Live Service,high,Sandbox MMO with no ending
Lost Ark,MMO / Live Service,high,MMO with endless endgame grind
New World,MMO / Live Service,high,MMO with no ending
Warframe,MMO / Live Service,high,Live service looter shooter; no ending
Path of Exile,MMO / Live Service,high,Live service ARPG with seasonal leagues; no ending
Path of Exile 2,MMO / Live Service,high,Live service ARPG; no ending
Diablo IV,MMO / Live Service,high,Campaign is completable but primary mode is endless seasonal live service
The Division 2,MMO / Live Service,high,Campaign completable but live service endgame is primary mode
Phantasy Star Online 2,MMO / Live Service,high,Ongoing MMO
MapleStory,MMO / Live Service,high,Long-running MMO with no ending
Albion Online,MMO / Live Service,high,Sandbox MMO with no ending
Neverwinter,MMO / Live Service,high,MMO with no ending
TERA,MMO / Live Service,high,MMO with no ending (shut down in some regions)
ArcheAge,MMO / Live Service,high,Sandbox MMO
Blade & Soul,MMO / Live Service,high,MMO with no ending
Star Trek Online,MMO / Live Service,high,MMO with no ending
Lord of the Rings Online,MMO / Live Service,high,MMO with no ending
DC Universe Online,MMO / Live Service,high,MMO with no ending
Genshin Impact,MMO / Live Service,high,Live service gacha; ongoing story with no conclusion in sight
Honkai: Star Rail,MMO / Live Service,high,Live service gacha with ongoing story
Wuthering Waves,MMO / Live Service,high,Live service gacha
Tower of Fantasy,MMO / Live Service,high,Live service MMO gacha
Zenless Zone Zero,MMO / Live Service,high,Live service gacha
Anthem,MMO / Live Service,high,Live service (abandoned but no ending existed)
The Crew 2,MMO / Live Service,high,Always-online open world racing with no ending
The Crew Motorfest,MMO / Live Service,high,Always-online open world racing with no ending
Elite Dangerous,MMO / Live Service,high,Open-ended space sim MMO
No Man's Sky,MMO / Live Service,medium,"Has a ""center of the galaxy"" goal but primary play is endless exploration/building"
Sea of Thieves,MMO / Live Service,high,Live service multiplayer pirate sandbox; no ending
Fallout 76,MMO / Live Service,high,Live service MMO with no traditional ending
Skull and Bones,MMO / Live Service,high,Live service with no ending
The First Descendant,MMO / Live Service,high,Live service looter shooter
Helldivers 2,MMO / Live Service,high,Live service co-op shooter with no ending
Deep Rock Galactic,MMO / Live Service,medium,Mission-based co-op with no ending; some consider mastery milestones
Monster Hunter: World,MMO / Live Service,medium,Credits roll after main story but endgame is the real game; borderline
Fortnite,Battle Royale,high,Battle royale / live service with no ending
PUBG: Battlegrounds,Battle Royale,high,Battle royale with no ending
Apex Legends,Battle Royale,high,Battle royale with no ending
Call of Duty: Warzone,Battle Royale,high,Battle royale with no ending
Call of Duty: Warzone 2.0,Battle Royale,high,Battle royale with no ending
Naraka: Bladepoint,Battle Royale,high,Battle royale with no ending
Fall Guys,Battle Royale,high,Party battle royale with no ending
Spellbreak,Battle Royale,high,Battle royale (shut down) with no ending
Hyper Scape,Battle Royale,high,Battle royale (shut down) with no ending
Super People,Battle Royale,high,Battle royale with no ending
The Finals,Battle Royale,high,Multiplayer shooter with no ending
Vampire: The Masquerade - Bloodhunt,Battle Royale,high,Battle royale with no ending
Cuisine Royale / CRSED: F.O.A.D.,Battle Royale,high,Battle royale with no ending
Darwin Project,Battle Royale,high,Battle royale (shut down) with no ending
Realm Royale,Battle Royale,high,Battle royale with no ending
Ring of Elysium,Battle Royale,high,Battle royale with no ending
Minecraft,Sandbox / Creative,medium,"Ender Dragon is a boss but not a traditional ending; most players never ""finish"" it; creative mode is purely endless"
Roblox,Sandbox / Creative,high,Platform of user-created games; no ending
Garry's Mod,Sandbox / Creative,high,Sandbox with no ending
Terraria,Sandbox / Creative,medium,"Has boss progression and ""final"" bosses but many consider it endless sandbox"
Dreams,Sandbox / Creative,high,Creation platform with no ending
LittleBigPlanet 3,Sandbox / Creative,medium,Has story mode but primary appeal is endless user-created content
LEGO Worlds,Sandbox / Creative,high,Sandbox building with no ending
Trove,Sandbox / Creative,high,MMO sandbox with no ending
Creativerse,Sandbox / Creative,high,Sandbox building with no ending
Space Engineers,Sandbox / Creative,high,Sandbox engineering sim with no ending
Empyrion - Galactic Survival,Sandbox / Creative,high,Sandbox survival with no ending
Astroneer,Sandbox / Creative,medium,Has progression goals but no traditional ending
Satisfactory,Sandbox / Creative,medium,Factory builder with progression tiers but no credits/ending
Factorio,Sandbox / Creative,medium,"Launching a rocket is a ""win"" but most players continue indefinitely; freeplay is primary"
Core Keeper,Sandbox / Creative,medium,Has bosses and progression but no definitive ending
